query,matching_paragraphs,num_matching_paragraphs,num_matching_docs,nonmatching_paragraphs,num_nonmatching_paragraphs,num_nonmatching_docs,label,overlap,par_balance,doc_balance
"ar 140-1 mission, organization, and training","['AR 140-1.pdf_101', 'AR 140-1.pdf_61', 'AR 140-1.pdf_1', 'AR 140-1.pdf_14', 'AR 140-1.pdf_30']",5,1,"['USAR PAM 600-2.pdf_517', 'AR 140-111.pdf_254', 'AR 140-111.pdf_318', 'TRADOC TP350-70-1.pdf_1140', 'USAR REG 700-1.pdf_11', 'AR 11-6.pdf_135', 'AR 135-178.pdf_283', 'ARMY DIR 2019-02.pdf_7', 'ARMY DIR 2019-02.pdf_33', 'AR 350-1.pdf_435', 'AR 350-1.pdf_105', 'USAR REG 750-1.pdf_83', 'AR 135-91.pdf_129', 'AR 601-280.pdf_148', 'USAR REG 140-1.pdf_265', 'AR 600-43.pdf_72', 'AR 135-200.pdf_129', 'AR 135-200.pdf_161', 'AR 135-200.pdf_113', 'USAR REG 140-6.pdf_421']",20,15,train,0,0.25,0.06666666666666667
"ar 150-1 organization, administration, and operation",['AR 150-1.pdf_4'],1,1,"['ARMY DIR 2019-14.pdf_7', 'ARMY DIR 2022-02.pdf_37', 'AR 135-210.pdf_62']",3,3,train,0,0.3333333333333333,0.3333333333333333
ar 190-17 biological select agents and toxins security program,"['AR 190-17.pdf_4', 'AR 190-17.pdf_89']",2,1,"['ARMY DIR 2016-24.pdf_251', 'ARMY DIR 2016-24.pdf_117', 'AR 600-20.pdf_384', 'ARMY DIR 2020-13.pdf_27', 'AR 190-51.pdf_287', 'AR 525-2.pdf_22', 'AR 525-2.pdf_31', 'AR 50-6.pdf_54']",8,6,train,0,0.25,0.16666666666666666
ar 195-2 criminal investigation activities,"['AR 195-2.pdf_4', 'AR 195-2.pdf_259', 'AR 195-2.pdf_84', 'AR 195-2.pdf_87']",4,1,"['ATP 3-39.20.pdf_223', 'ATP 3-39.20.pdf_183', 'ATP 3-39.20.pdf_33', 'AGO 2003-09.pdf_0', 'AR 360-1.pdf_180', 'AR 10-87.pdf_118', 'AR 350-1.pdf_435', 'AR 25-1.pdf_207', 'AR 15-6.pdf_47', 'AR 380-5.pdf_185', 'AR 715-30.pdf_88', 'AR 40-58.pdf_266', 'AR 600-63.pdf_191', 'AR 635-200.pdf_415', 'AR 608-18.pdf_80', 'AR 608-18.pdf_79']",16,13,train,0,0.25,0.07692307692307693
ar 195-3 the criminal investigation command special agent program,"['AR 195-3.pdf_3', 'AR 195-3.pdf_22']",2,1,"['AR 195-2.pdf_97', 'AR 601-280.pdf_151', 'AR 614-200.pdf_599', 'PAM 611-21.pdf_21', 'AR 350-1.pdf_208', 'AR 608-18.pdf_16']",6,6,train,0,0.3333333333333333,0.16666666666666666
ar 195-4 use of contingency limitation .0015 funds for criminal investigative activities,"['AR 195-4.pdf_4', 'AR 195-4.pdf_117']",2,1,"['AR 10-87.pdf_118', 'AR 190-30.pdf_21', 'AR 190-30.pdf_18', 'AR 190-30.pdf_19']",4,2,train,0,0.5,0.5
ar 200-1 environmental protection and enhancement,"['AR 200-1.pdf_1', 'AR 200-1.pdf_72', 'AR 200-1.pdf_73', 'AR 200-1.pdf_8', 'AR 200-1.pdf_111']",5,1,"['AJEPP 7.pdf_817', 'STP 44-14J14-SM-TG.pdf_4908', 'MCRP 4-11B.pdf_552', 'ARMY DIR 2020-08.pdf_0', 'STP 10-92F15-SM-TG.pdf_6771', 'TB MED 577.pdf_1050', 'STP 10-92W14-SM-TG.pdf_5302', 'STP 10-92W14-SM-TG.pdf_5286', 'PAM 40-11.pdf_229', 'PAM 40-11.pdf_298', 'PAM 40-11.pdf_561', 'STP 10-92A34-SM-TG.pdf_1385', 'STP 10-92L14-SM-TG.pdf_2689', 'STP 9-94K13-SM-TG.pdf_481', 'AR 700-147.pdf_120', 'ATP 3-34.5.pdf_182', 'AR 750-1.pdf_650', 'STP 9-94M13-SM-TG.pdf_1842', 'TM 5-803-1_dup1.pdf_58', 'TM 5-634.pdf_452']",20,17,train,0,0.25,0.058823529411764705
"ar 215-1 military morale, welfare, and recreation programs and nonappropriated fund instrumentalities","['AR 215-1.pdf_3', 'AR 215-1.pdf_4']",2,1,"['USAR REG 608-1.pdf_1256', 'CNGBI 1800.02.pdf_180', 'TB MED 531.pdf_2594', 'AR 230-3.pdf_26', 'TB MED 575.pdf_1508', 'AR 25-13.pdf_82', 'AR 215-4.pdf_258', 'AR 58-1.pdf_172']",8,8,train,0,0.25,0.125
ar 25-13 army telecommunications and unified capabilities,['AR 25-13.pdf_3'],1,1,"['AR 25-1.pdf_205', 'AR 25-1.pdf_44', 'AR 900-1.pdf_30', 'AR 25-2.pdf_181']",4,3,train,0,0.25,0.3333333333333333
ar 25-98 information management control requirements program,['AR 25-98.pdf_4'],1,1,"['TRADOC TP25-53.pdf_64', 'AR 55-46.pdf_165', 'AR 700-13.pdf_31', 'AR 27-10.pdf_497']",4,4,train,0,0.25,0.25
ar 360-1 the army public affairs program,['AR 360-1.pdf_4'],1,1,"['CNGBI 0600.01A.pdf_96', 'TRADOC TR220-90C1.pdf_129', 'AR 25-1.pdf_207', 'STP 46-46QZ14-SM-TG.pdf_422']",4,4,train,0,0.25,0.25
ar 380-10 foreign disclosure and contacts with foreign representatives,"['AR 380-10.pdf_7', 'AR 380-10.pdf_6', 'AR 380-10.pdf_22', 'AR 380-10.pdf_1', 'AR 380-10.pdf_98']",5,1,"['TRADOC TM380-5.pdf_72', 'AR 380-5.pdf_185', 'TRADOC TR25-36.pdf_522', 'PAM 11-31.pdf_66', 'AR 12-1.pdf_148', 'ATP 3-39.20.pdf_224', 'USAR REG 380-5.pdf_16', 'AR 380-49.pdf_29', 'AR 380-49.pdf_26', 'AR 381-11.pdf_119', 'CFETP 1T0X1.pdf_599', 'AR 360-1.pdf_183', 'AR 381-12.pdf_25', 'FM 6-0.pdf_227', 'AR 25-1.pdf_207', 'AR 381-10.pdf_37', 'AR 55-46.pdf_165', 'AR 350-50.pdf_91', 'AR 10-87.pdf_121', 'AR 525-92.pdf_87']",20,19,train,0,0.25,0.05263157894736842
ar 380-28 army sensitive compartmented information security program,['AR 380-28.pdf_3'],1,1,"['AR 380-5.pdf_185', 'USAR REG 380-5.pdf_16', 'AR 380-381.pdf_89', 'AR 380-381.pdf_45']",4,3,train,0,0.25,0.3333333333333333
ar 380-381 special access programs (saps) and sensitive activities,"['AR 380-381.pdf_89', 'AR 380-381.pdf_1', 'AR 380-381.pdf_11', 'AR 380-381.pdf_8', 'AR 380-381.pdf_6']",5,1,"['AR 380-5.pdf_185', 'AR 715-30.pdf_88', 'AR 715-30.pdf_28', 'TRADOC TR71-20.pdf_1128', 'AR 530-1.pdf_26', 'AR 525-92.pdf_87', 'AR 380-67.pdf_51', 'AR 25-1.pdf_207', 'AR 10-87.pdf_121', 'AR 525-2.pdf_23', 'PAM 381-20.pdf_293', 'AR 20-1.pdf_176', 'AR 20-1.pdf_312', 'AR 20-1.pdf_25', 'AR 381-12.pdf_25', 'AR 380-49.pdf_29', 'AR 380-49.pdf_9', 'AR 25-2.pdf_191', 'AR 70-1.pdf_181', 'AR 380-28.pdf_156']",20,16,train,0,0.25,0.0625
ar 380-5 army information security program,"['AR 380-5.pdf_5', 'AR 380-5.pdf_3', 'AR 380-5.pdf_8', 'AR 380-5.pdf_10', 'AR 380-5.pdf_166']",5,1,"['USAR REG 380-5.pdf_16', 'USAR REG 380-5.pdf_1', 'USAR REG 380-5.pdf_0', 'USAR REG 380-5.pdf_2', 'USAR REG 380-5.pdf_31', 'AR 25-22.pdf_37', 'AR 20-1.pdf_312', 'AR 25-2.pdf_191', 'AR 25-2.pdf_181', 'AR 5-10.pdf_30', 'USAR PAM 25-2.pdf_1072', 'TRADOC TM380-5.pdf_318', 'TRADOC TS1-201.pdf_137', 'DA MEMO 36-1.pdf_2', 'AR 10-87.pdf_121', 'AR 11-33.pdf_49', 'AR 870-5.pdf_82', 'AR 380-28.pdf_156', 'AR 380-28.pdf_3', 'AR 380-28.pdf_24']",20,13,train,0,0.25,0.07692307692307693
ar 380-53 communications security monitoring,"['AR 380-53.pdf_1', 'AR 380-53.pdf_20', 'AR 380-53.pdf_3', 'AR 380-53.pdf_5', 'AR 380-53.pdf_23']",5,1,"['AR 380-5.pdf_185', 'AR 25-1.pdf_207', 'AR 525-2.pdf_23', 'AR 530-1.pdf_26', 'AR 25-13.pdf_84', 'AR 25-13.pdf_28', 'FM 2-22.3.pdf_1095', 'FM 2-22.3.pdf_1398', 'AR 190-53.pdf_40', 'AR 190-53.pdf_14', 'USAR REG 380-3.pdf_1', 'ATP 6-02.53.pdf_228', 'ATP 6-02.71.pdf_114', 'PAM 25-1-1.pdf_285', 'PAM 25-1-1.pdf_429', 'PAM 25-1-1.pdf_135', 'AR 381-10.pdf_19']",17,12,train,0,0.29411764705882354,0.08333333333333333
ar 380-67 personnel security program,"['AR 380-67.pdf_51', 'AR 380-67.pdf_52', 'AR 380-67.pdf_87', 'AR 380-67.pdf_53', 'AR 380-67.pdf_1']",5,1,"['USAR REG 380-5.pdf_16', 'AR 380-5.pdf_185', 'AR 380-5.pdf_28', 'AR 380-5.pdf_25', 'AR 380-5.pdf_31', 'AR 380-5.pdf_130', 'TRADOC TS1-201.pdf_141', 'AR 350-1.pdf_546', 'AR 350-1.pdf_445', 'TRADOC TM380-5.pdf_74', 'TRADOC TR10-5-4.pdf_244', 'ARMY DIR 2020-12.pdf_13', 'AR 621-5.pdf_190', 'AR 20-1.pdf_312', 'AR 750-1.pdf_650', 'AR 135-178.pdf_281', 'TRADOC TR350-6.pdf_1199', 'AR 380-28.pdf_156', 'AR 380-28.pdf_30', 'AR 380-28.pdf_47']",20,13,train,0,0.25,0.07692307692307693
ar 40-5 army public health program,"['AR 40-5.pdf_111', 'AR 40-5.pdf_38', 'AR 40-5.pdf_4', 'AR 40-5.pdf_32', 'AR 40-5.pdf_68']",5,1,"['AR 600-20.pdf_381', 'AR 56-9.pdf_234', 'PAM 40-11.pdf_559', 'PAM 40-11.pdf_52', 'PAM 40-11.pdf_36', 'PAM 40-11.pdf_522', 'PAM 40-11.pdf_11', 'ARMY DIR 2020-17.pdf_0', 'AR 70-1.pdf_178', 'AR 70-1.pdf_137', 'AR 11-35.pdf_10', 'ATP 4-02.8.pdf_122', 'AR 700-48.pdf_35', 'ATP 3-04.7.pdf_195', 'FM 4-02.pdf_111', 'FM 4-02.pdf_222', 'FM 4-02.pdf_52', 'AR 190-12.pdf_152', 'ARMY DIR 2020-13.pdf_35', 'AR 601-1.pdf_32']",20,13,train,0,0.25,0.07692307692307693
ar 405-45 real property inventory management,"['AR 405-45.pdf_10', 'AR 405-45.pdf_1', 'AR 405-45.pdf_5', 'AR 405-45.pdf_4', 'AR 405-45.pdf_3']",5,1,"['AR 140-483.pdf_182', 'USAR REG 10-1.pdf_363', 'USAR REG 10-1.pdf_297', 'AR 405-90.pdf_136', 'AR 415-32.pdf_46', 'AR 350-19.pdf_52', 'AR 5-9.pdf_145', 'AR 700-90.pdf_138', 'AR 415-28.pdf_6', 'AR 415-28.pdf_7', 'AR 1-100.pdf_105', 'PAM 415-28.pdf_10', 'PAM 415-28.pdf_5', 'AR 700-147.pdf_120', 'AR 420-1.pdf_257', 'AR 420-1.pdf_320', 'AR 420-1.pdf_463', 'AR 420-1.pdf_276', 'AR 420-1.pdf_246', 'TM 5-300.pdf_53']",20,13,train,0,0.25,0.07692307692307693
ar 420-1 army facilities management,"['AR 420-1.pdf_317', 'AR 420-1.pdf_341', 'AR 420-1.pdf_408', 'AR 420-1.pdf_321', 'AR 420-1.pdf_424']",5,1,"['AR 600-8-8.pdf_119', 'ARMY DIR 2018-29.pdf_10', 'TRADOC TP350-70-13.pdf_939', 'TRADOC TR350-70.pdf_1250', 'TB MED 575.pdf_1565', 'AR 115-10.pdf_55', 'AR 415-16.pdf_54', 'TRADOC TP385-1.pdf_105', 'PAM 11-42.pdf_40', 'TM 5-608.pdf_22', 'AR 25-1.pdf_207', 'AR 25-1.pdf_163', 'AR 25-1.pdf_160', 'AR 525-27.pdf_281', 'AR 40-58.pdf_266', 'TM 5-608_dup1.pdf_22', 'AR 700-147.pdf_120', 'AR 350-1.pdf_437', 'AR 350-1.pdf_95', 'DoDI 6015.17 CH 1.pdf_73']",20,17,train,0,0.25,0.058823529411764705
ar 420-41 acquisition and sale of utilities services,"['AR 420-41.pdf_1', 'AR 420-41.pdf_9', 'AR 420-41.pdf_5', 'AR 420-41.pdf_10', 'AR 420-41.pdf_11']",5,1,"['AR 420-1.pdf_294', 'AR 5-9.pdf_140', 'AR 5-9.pdf_25', 'AR 5-9.pdf_89']",4,2,train,0,1.25,0.5
ar 5-1 management of army business operations,"['AR 5-1.pdf_1', 'AR 5-1.pdf_3', 'AR 5-1.pdf_19', 'AR 5-1.pdf_4', 'AR 5-1.pdf_39']",5,1,"['AR 621-5.pdf_185', 'AR 25-1.pdf_205', 'AR 25-1.pdf_27', 'AR 25-1.pdf_24', 'AR 25-1.pdf_79', 'AR 25-1.pdf_77', 'AR 10-82.pdf_27', 'AR 750-1.pdf_648', 'AR 750-1.pdf_44', 'AR 525-27.pdf_278', 'AR 525-92.pdf_84', 'AR 525-2.pdf_29', 'AR 350-1.pdf_120', 'ATP 6-02.71.pdf_89', 'AR 608-1.pdf_28', 'AR 58-1.pdf_25', 'AR 58-1.pdf_40', 'AR 500-3.pdf_15', 'AR 500-3.pdf_21', 'AR 420-1.pdf_23']",20,13,train,0,0.25,0.07692307692307693
ar 5-11 management of army models and simulations,"['AR 5-11.pdf_12', 'AR 5-11.pdf_3', 'AR 5-11.pdf_13', 'AR 5-11.pdf_1', 'AR 5-11.pdf_16']",5,1,"['TRADOC TR5-11.pdf_24', 'TRADOC TR5-11.pdf_44', 'AR 25-1.pdf_205', 'AR 95-1.pdf_186', 'TRADOC TR71-20.pdf_1106', 'TRADOC TR71-20.pdf_486', 'TRADOC TR10-5-5.pdf_1593', 'PAM 5-11.pdf_7', 'PAM 5-11.pdf_60', 'PAM 5-11.pdf_61', 'TRADOC TP350-70-13.pdf_931', 'AR 700-127.pdf_280', 'AR 602-2.pdf_19', 'TRADOC TR10-5-4.pdf_1786', 'TRADOC TR10-5-4.pdf_2098', 'PAM 700-127.pdf_325', 'PAM 70-3.pdf_456', 'AR 73-1.pdf_175', 'AR 350-1.pdf_123', 'AR 350-19.pdf_51']",20,15,train,0,0.25,0.06666666666666667
ar 5-9 installation agreements,"['AR 5-9.pdf_3', 'AR 5-9.pdf_20', 'AR 5-9.pdf_89', 'AR 5-9.pdf_35']",4,1,"['AR 140-483.pdf_182', 'PAM 525-27.pdf_76', 'PAM 525-27.pdf_265', 'PAM 525-27.pdf_1445', 'PAM 525-27.pdf_373', 'PAM 525-27.pdf_1776', 'AR 30-22.pdf_285', 'AR 27-10.pdf_497', 'AR 600-20.pdf_381', 'AR 600-20.pdf_54', 'AR 750-1.pdf_645', 'AR 600-43.pdf_72', 'AR 550-51.pdf_7', 'MCO 1620.2D.pdf_21', 'AR 190-9.pdf_10', 'AR 190-9.pdf_14']",16,10,train,0,0.25,0.1
ar 50-5 nuclear surety,"['AR 50-5.pdf_19', 'AR 50-5.pdf_21', 'AR 50-5.pdf_3', 'AR 50-5.pdf_4']",4,1,"['CTA 50-900.pdf_73', 'AR 10-16.pdf_38', 'AR 20-1.pdf_309', 'AR 525-92.pdf_84', 'AR 40-13.pdf_37', 'AR 360-1.pdf_180', 'AR 612-201.pdf_418', 'AR 614-200.pdf_599', 'ARMY DIR 2020-13.pdf_27', 'AR 50-7.pdf_54', 'AR 601-280.pdf_148', 'AR 385-10.pdf_297', 'AR 635-200.pdf_415', 'AR 600-20.pdf_381', 'AR 600-20.pdf_619', 'AR 600-85.pdf_337']",16,15,train,0,0.25,0.06666666666666667
ar 50-6 chemical surety,"['AR 50-6.pdf_3', 'AR 50-6.pdf_75']",2,1,"['ARMY DIR 2013-03.pdf_0', 'ARMY DIR 2013-03.pdf_25', 'ARMY DIR 2013-03.pdf_2', 'ARMY DIR 2013-03.pdf_8', 'CTA 50-900.pdf_74', 'TRADOC TR385-2C1.pdf_926', 'AR 20-1.pdf_309', 'PAM 385-61.pdf_171']",8,5,train,0,0.25,0.2
ar 500-3 u.s. army continuity of operations program,"['AR 500-3.pdf_6', 'AR 500-3.pdf_3', 'AR 500-3.pdf_9', 'AR 500-3.pdf_12', 'AR 500-3.pdf_21']",5,1,"['PAM 500-30.pdf_3', 'PAM 500-30.pdf_7', 'PAM 500-30.pdf_80', 'PAM 500-30.pdf_12', 'PAM 500-30.pdf_15', 'AR 10-87.pdf_123', 'AR 25-1.pdf_207', 'TRADOC TP385-1.pdf_106', 'AR 525-27.pdf_281', 'STP 10-92A34-SM-TG.pdf_1385', 'STP 10-92Y34-SM-TG.pdf_2076', 'AR 525-2.pdf_23', 'AR 525-2.pdf_41', 'AR 25-2.pdf_181', 'PAM 25-403.pdf_75', 'AR 500-5.pdf_10', 'ATP 6-02.71.pdf_114', 'ARMY DIR 2020-03.pdf_3', 'ARMY DIR 2020-03.pdf_5', 'PAM 25-1-1.pdf_285']",20,14,train,0,0.25,0.07142857142857142
ar 525-2 the army protection program,"['AR 525-2.pdf_6', 'AR 525-2.pdf_21', 'AR 525-2.pdf_40', 'AR 525-2.pdf_44', 'AR 525-2.pdf_29']",5,1,"['AR 95-1.pdf_186', 'AR 600-20.pdf_375', 'AR 600-20.pdf_233', 'AR 380-28.pdf_161', 'PAM 750-1.pdf_50', 'AR 750-1.pdf_650', 'AR 115-13.pdf_40', 'AR 50-7.pdf_56', 'AR 380-5.pdf_185', 'PAM 40-11.pdf_564', 'PAM 40-11.pdf_336', 'PAM 40-11.pdf_262', 'TC 2-19.01.pdf_307', 'AR 500-3.pdf_52', 'AR 500-3.pdf_3', 'AR 500-3.pdf_12', 'AR 500-3.pdf_39', 'AR 500-3.pdf_36', 'ADP 3-37.pdf_17', 'ADP 3-37.pdf_128']",20,12,train,0,0.25,0.08333333333333333
ar 570-4 manpower management,"['AR 570-4.pdf_86', 'AR 570-4.pdf_87', 'AR 570-4.pdf_91', 'AR 570-4.pdf_82', 'AR 570-4.pdf_96']",5,1,"['USAR PAM 570-1.pdf_285', 'USAR REG 570-1.pdf_128', 'AR 350-19.pdf_52', 'TRADOC TR350-70.pdf_1202', 'ARMY DIR 2016-01.pdf_92', 'AR 5-9.pdf_145', 'AR 5-9.pdf_22', 'AR 750-1.pdf_650', 'AR 750-1.pdf_215', 'AR 750-1.pdf_70', 'AR 750-1.pdf_674', 'AR 95-1.pdf_183', 'AR 621-5.pdf_190', 'AR 608-18.pdf_80', 'AR 710-2.pdf_187', 'AR 690-300.pdf_181', 'AR 10-87.pdf_123', 'AR 600-8-6.pdf_30', 'AR 690-950-4.pdf_58', 'AR 71-32.pdf_50']",20,16,train,0,0.25,0.0625
"ar 600-110 identification, surveillance, and administration of personnel infected with human immunodeficiency virus","['AR 600-110.pdf_1', 'AR 600-110.pdf_8', 'AR 600-110.pdf_2']",3,1,"['TRADOC TR350-36.pdf_535', 'ARMY DIR 2018-07-17.pdf_48', 'ARMY DIR 2020-13.pdf_34', 'PAM 40-11.pdf_430', 'PAM 40-11.pdf_564', 'TRADOC TP220-1.pdf_354', 'AR 600-63.pdf_191', 'AR 600-8-24.pdf_503', 'AR 601-280.pdf_151', 'AR 612-201.pdf_420', 'AR 135-178.pdf_281', 'AR 600-8-101.pdf_60']",12,11,train,0,0.25,0.09090909090909091
ar 600-20 army command policy,"['AR 600-20.pdf_10', 'AR 600-20.pdf_3', 'AR 600-20.pdf_15', 'AR 600-20.pdf_149', 'AR 600-20.pdf_51']",5,1,"['ARMY DIR 2019-07.pdf_35', 'AR 600-63.pdf_189', 'AR 600-63.pdf_63', 'ARMY DIR 2019-17.pdf_9', 'AR 600-8-29.pdf_152', 'TRADOC TR600-15.pdf_57', 'AR 600-8-19.pdf_803', 'AR 600-8-19.pdf_59', 'ARMY DIR 2021-01.pdf_15', 'TRADOC TR10-5-1.pdf_1850', 'TRADOC TR10-5-1.pdf_797', 'AR 600-77.pdf_274', 'AR 600-8-24.pdf_503', 'USAR PAM 600-2.pdf_520', 'USAR PAM 600-2.pdf_188', 'ARMY DIR 2018-23.pdf_64', 'AR 600-8-2.pdf_69', 'AR 600-8-2.pdf_60', 'AR 600-8-2.pdf_32', 'AR 600-8-2.pdf_26']",20,13,train,0,0.25,0.07692307692307693
ar 600-63 army health promotion,['AR 600-63.pdf_4'],1,1,"['AR 600-20.pdf_387', 'TRADOC TS1-201.pdf_146', 'AR 600-8-2.pdf_69', 'AR 600-8-2.pdf_26']",4,3,train,0,0.25,0.3333333333333333
"ar 600-77 administrative management of wounded, ill, or injured soldiers",['AR 600-77.pdf_3'],1,1,['AR 40-58.pdf_263'],1,1,train,0,1.0,1.0
ar 600-8-19 enlisted promotions and reductions,"['AR 600-8-19.pdf_819', 'AR 600-8-19.pdf_3']",2,1,"['TRADOC TR600-21.pdf_258', 'AR 600-77.pdf_277', 'AR 600-20.pdf_387', 'ARMY DIR 2016-19.pdf_7', 'AR 600-8-2.pdf_66', 'AR 600-85.pdf_343', 'AR 600-8-105.pdf_215', 'ARMY DIR 2017-28.pdf_7']",8,8,train,0,0.25,0.125
ar 600-8-22 military awards,"['AR 600-8-22.pdf_3', 'AR 600-8-22.pdf_6', 'AR 600-8-22.pdf_5', 'AR 600-8-22.pdf_7']",4,1,"['AGO 2009-32.pdf_0', 'TRADOC TR600-21.pdf_259', 'AR 600-77.pdf_277', 'USAR PAM 600-2.pdf_520', 'AR 27-10.pdf_494', 'AR 600-8-105.pdf_215', 'TRADOC TS600-8-22.pdf_48', 'AR 600-8-19.pdf_803', 'AR 600-8-2.pdf_66', 'AR 600-8-2.pdf_60', 'DHA Administrative Instructions 102.pdf_58', 'AR 40-58.pdf_269', 'AR 614-200.pdf_599', 'ARMY DIR 2018-28.pdf_504', 'AR 611-75.pdf_70', 'AR 635-200.pdf_415']",16,15,train,0,0.25,0.06666666666666667
ar 600-8-29 officer promotions,"['AR 600-8-29.pdf_161', 'AR 600-8-29.pdf_4', 'AR 600-8-29.pdf_90']",3,1,"['AR 600-20.pdf_387', 'AR 600-77.pdf_277', 'ARMY DIR 2016-26.pdf_7', 'AR 600-8-105.pdf_217', 'AR 600-8-24.pdf_497', 'AR 600-8-2.pdf_69', 'AR 600-8-2.pdf_60', 'ARMY DIR 2017-08.pdf_103', 'ARMY DIR 2021-31.pdf_0', 'PAM 600-8-101.pdf_126', 'AR 27-10.pdf_494', 'AR 623-3.pdf_416']",12,11,train,0,0.25,0.09090909090909091
ar 600-8-6 personnel accounting and strength reporting,"['AR 600-8-6.pdf_3', 'AR 600-8-6.pdf_5', 'AR 600-8-6.pdf_1', 'AR 600-8-6.pdf_4', 'AR 600-8-6.pdf_6']",5,1,"['AR 600-20.pdf_387', 'AR 600-62.pdf_10', 'ARMY DIR 2016-07.pdf_39', 'AR 600-8.pdf_73', 'AR 600-8-10.pdf_191', 'FM 1-0.pdf_252', 'AR 690-11.pdf_66', 'AR 600-8-104.pdf_28', 'AR 635-200.pdf_415', 'PAM 220-1.pdf_160', 'AR 600-8-101.pdf_58', 'AR 150-1.pdf_207', 'PAM 600-8-104.pdf_37', 'AR 220-1.pdf_73', 'AR 630-10.pdf_30', 'PAM 600-8.pdf_141', 'AR 614-10.pdf_21', 'PAM 600-81.pdf_34', 'ATP 1-0.1.pdf_159', 'ATP 1-0.1.pdf_42']",20,19,train,0,0.25,0.05263157894736842
ar 600-85 the army substance abuse program,"['AR 600-85.pdf_29', 'AR 600-85.pdf_337', 'AR 600-85.pdf_359', 'AR 600-85.pdf_5', 'AR 600-85.pdf_3']",5,1,"['AR 600-63.pdf_141', 'AR 600-63.pdf_189', 'AR 600-63.pdf_63', 'AR 600-63.pdf_143', 'AR 600-8-2.pdf_69', 'ARMY DIR 2018-23.pdf_67', 'AR 600-55.pdf_102', 'SASC Hearing - Military and civilian personnel programs in the Department of Defense in review on the Defense Authorization Request for Fiscal Year 2022 and the Future Years Defense Program. Witnesses - Lieutenant General Gary Brito Te.pdf_109', 'TRADOC TR350-16.pdf_515', 'AR 20-1.pdf_312', 'AR 56-9.pdf_234', 'ARMY DIR 2012-07.pdf_0', 'ARMY DIR 2018-16.pdf_86', 'ARMY DIR 2021-22.pdf_94', 'AR 614-200.pdf_94', 'AR 614-200.pdf_599', 'AR 40-5.pdf_117', 'ARMY DIR 2020-13.pdf_58', 'AR 50-7.pdf_56', 'AR 215-1.pdf_1097']",20,16,train,0,0.25,0.0625
ar 601-210 regular army and reserve components enlistment program,"['AR 601-210.pdf_14', 'AR 601-210.pdf_13', 'AR 601-210.pdf_9', 'AR 601-210.pdf_1', 'AR 601-210.pdf_100']",5,1,"['AR 611-1.pdf_238', 'TRADOC TR135-6.pdf_267', 'AR 621-5.pdf_190', 'AR 600-8-19.pdf_803', 'AR 601-280.pdf_145', 'AR 614-200.pdf_599', 'AR 600-20.pdf_387', 'AR 600-43.pdf_74', 'AR 140-10.pdf_198', 'AR 30-22.pdf_288', 'ARMY DIR 2019-31.pdf_29', 'ARMY DIR 2019-31.pdf_4', 'AR 600-8-2.pdf_72', 'PAM 600-8-105.pdf_210', 'AR 135-200.pdf_126', 'AR 600-8-10.pdf_197', 'AR 135-178.pdf_283', 'AR 600-8-24.pdf_503', 'AR 600-8-104.pdf_28', 'AR 11-6.pdf_132']",20,19,train,0,0.25,0.05263157894736842
ar 611-5 personnel and classification testing,"['AR 611-5.pdf_6', 'AR 611-5.pdf_3']",2,1,"['TRADOC TR350-16.pdf_534', 'AR 350-1.pdf_440', 'AR 621-5.pdf_190', 'AR 621-5.pdf_109', 'AR 611-1.pdf_247', 'TRADOC TR350-70.pdf_1251', 'STP 55-88M14-SM-TG.pdf_6832', 'TRADOC TP350-70-14.pdf_2254']",8,7,train,0,0.25,0.14285714285714285
ar 614-200 enlisted assignments and utilization management,"['AR 614-200.pdf_1', 'AR 614-200.pdf_2']",2,1,"['ARMY DIR 2018-22.pdf_84', 'AR 600-8-8.pdf_119', 'ARMY DIR 2022-06.pdf_186', 'TRADOC TR350-18.pdf_773', 'TRADOC TR350-70.pdf_1252', 'AR 600-77.pdf_277', 'AR 611-1.pdf_238', 'TRADOC TR350-6.pdf_1209']",8,8,train,0,0.25,0.125
ar 621-1 advanced education programs and requirements for military personnel,"['AR 621-1.pdf_3', 'AR 621-1.pdf_176', 'AR 621-1.pdf_187']",3,1,"['AR 11-6.pdf_138', 'AR 351-3.pdf_83', 'AR 351-3.pdf_21', 'AR 600-20.pdf_390', 'AR 150-1.pdf_207', 'AR 600-8-10.pdf_197', 'AR 600-8-10.pdf_122', 'FM 3-61.pdf_161', 'AR 145-1.pdf_55', 'PAM 600-3.pdf_94', 'PAM 600-3.pdf_97', 'AR 350-100.pdf_52']",12,9,train,0,0.25,0.1111111111111111
"ar 635-40 disability evaluation for retention, retirement, or separation","['AR 635-40.pdf_3', 'AR 635-40.pdf_37', 'AR 635-40.pdf_34', 'AR 635-40.pdf_27']",4,1,"['ARMY DIR 2018-22.pdf_85', 'AR 135-178.pdf_40', 'AR 135-178.pdf_283', 'ARMY DIR 2021-22.pdf_96', 'ARMY DIR 2020-13.pdf_30', 'AR 601-280.pdf_145', 'AR 40-501.pdf_65', 'AR 40-501.pdf_286', 'AR 40-501.pdf_283', 'AR 135-175.pdf_144', 'AR 40-58.pdf_263', 'AR 40-58.pdf_180', 'AR 600-8-10.pdf_191', 'AR 600-8-105.pdf_220', 'PAM 600-8-105.pdf_212', 'AR 600-20.pdf_390']",16,12,train,0,0.25,0.08333333333333333
